sub _id,first_name,last_name,Street,Birth_date,Gender,Phone,Country,City,Zip Code,Subgrp_id,Elig_ind,eff_date,term_date
SUBID10027,Chancharik,Pandey,Karan Ganj,1983-09-05,Male,+91 5309364825,India,Chapra,154667,S109,N,2003-09-05,2011-06-12
SUBID10028,Pushti,Pandit,Deol Path,1935-10-15,Female,+91 7093722203,India,Morbi,284168,S106,N,1955-10-15,1959-06-04
SUBID10029,Swati,Seth,Kant Marg,1987-12-11,Female,+91 1028477510,India,Amravati,932221,S102,N,2007-12-11,2011-10-17
SUBID1030,Upasana,Pandey,Seth Chowk,1956-06-01,Male,+91 0548234943,India,Hyderabad,234823,S102,N,1976-06-01,1981-02-14
SUBID10031,Kanhaiya,Lal,Savant Nagar,1954-10-19,Female,+91 0788738026,India,Mysore,638433,S104,Y,1974-10-19,1977-01-03
SUBID1032,,Seth,Sandhu Chowk,1968-07-02,Female,+91 2599794460,India,Gwalior,611826,S110,N,1988-07-02,1991-03-14
SUBID10033,Gensho,Srivastav,Korpal Ganj,1992-06-06,Male,+91 4834040556,India,Ludhiana,835018,S101,N,2012-06-06,2022-01-09
SUBID1034,Gopal,Das,Saini,1986-05-14,Male,+91 1181471524,India,Raebareli,176221,S101,N,2006-05-14,2011-04-08
SUBID10035,Dheeman,Tiwari,Dube Marg,1945-05-04,Male,+91 8239321466,India,Mysore,811970,S101,Y,1965-05-04,1973-11-13
SUBID1036,Upasana,Thakur,Vasa Ganj,1927-10-03,Female,,India,Ratlam,326733,S108,N,1947-10-03,1951-02-20
SUBID1037,,Rajput,Shere Chowk,1948-11-10,Male,+91 8390195092,India,Vadodara,877443,S101,Y,1968-11-10,1973-12-25
SUBID1038,,Thakur,Rastogi Street,1955-04-07,Female,+91 7434031446,India,Vijayawada,438940,S104,,1975-04-07,1982-01-25
SUBID10039,Madhubala,Yadav,Sangha Marg,1937-01-11,Male,+91 8498685882,India,Jaunpur,624102,S104,Y,1957-01-11,1965-10-09
SUBID10040,Anjushree,Pandey,Vora Ganj,1976-07-04,Male,+91 5322869455,India,Ghaziabad,782221,S105,N,1996-07-04,1999-02-17
SUBID1041,,Rajput,Sinha Path,1930-11-25,Female,,India,Agartala,303503,S110,Y,1950-11-25,1957-09-14
SUBID10042,Chakrika,Sonkar,Bansal Circle,1964-08-05,Male,+91 8185162879,India,Ranchi,503290,S108,Y,1984-08-05,1992-09-09
SUBID1043,Saroj,Pandit,Sathe Zila,1942-08-26,Female,+91 5690408243,India,Muzaffarpur,130486,S103,Y,1962-08-26,1964-08-29
SUBID1044,Ayushmati,Vishwakarma,Balakrishnan Street,1932-09-20,Male,+91 3683223970,India,Satna,131247,S108,N,1952-09-20,1961-01-24
SUBID1045,Drashti,Divedi,Wadhwa,1926-07-03,Male,+91 9447269993,India,Saharsa,581568,S104,Y,1946-07-03,1952-11-27
SUBID10046,Aayushmaan,Maurya,Johal Nagar,1983-11-14,Female,+91 4464709769,India,Mehsana,987281,S104,Y,2003-11-14,2012-10-22
SUBID1047,,Rai,Sagar Chowk,1931-02-04,Male,+91 2973105946,India,Shivpuri,794170,S109,Y,1951-02-04,1955-07-14
SUBID10048,Chitranjan,Mishra,Madan Nagar,1925-09-09,Female,+91 5176024720,India,Morbi,945697,S108,N,1945-09-09,1952-06-21
SUBID10049,Paridhi,Yadav,Sant Path,1959-03-27,Female,+91 2139280879,India,Jabalpur,883754,,N,1979-03-27,1985-06-01
SUBID10050,Deependu,Gupta,Banik Ganj,1952-02-13,Female,+91 5674176644,India,Bareilly,417855,S102,Y,1972-02-13,1976-08-23
SUBID10051,,Rajput,Chauhan Chowk,1946-10-17,Male,+91 9887324437,India,Baranagar,765234,S103,Y,1966-10-17,1969-06-26
SUBID10052,Laksman,Rao,Sood Marg,1939-05-26,Female,+91 4504120828,India,Ahmednagar,117923,S101,Y,1959-05-26,1960-11-07
SUBID10053,,Sonkar,Shetty Marg,1988-06-27,Male,+91 6877897646,India,Pali,383290,S102,Y,2008-06-27,2016-10-30
SUBID10054,Shivakari,Pratap,Dugar Road,1944-11-02,Female,+91 3740484063,India,Hapur,28202,S104,N,1964-11-02,1967-06-15
SUBID10055,Madhu,Thakur,Sule Marg,1984-10-23,Male,+91 8367885507,India,Udaipur,565423,S107,N,2004-10-23,2008-07-10
SUBID10056,Chanak,Gupta,Shetty Nagar,1954-08-27,Male,+91 5093121123,India,Jalandhar,602989,S105,N,1974-08-27,1982-06-15
SUBID10057,Chittesh,Pandey,Mangal Chowk,1949-10-17,Male,+91 1378163498,India,Thoothukudi,666415,S109,Y,1969-10-17,1975-10-08
SUBID1058,Nawal,Rajput,Deol Nagar,1940-01-22,Male,+91 1885105576,India,Bhopal,791168,S106,N,1960-01-22,1969-04-18
SUBID10059,Gajabahu,Singh,Kara,1959-03-15,Male,+91 1207869436,India,Udupi,637221,S101,Y,1979-03-15,1986-07-05
SUBID10060,Jitesh,Vishwakarma,Gopal Path,1983-02-03,Male,+91 6515468035,India,Karimnagar,124564,S110,Y,2003-02-03,2008-04-30
SUBID10061,,Rajput,Anand Path,1966-09-25,Female,+91 6477918745,India,Kharagpur,934938,S103,,1986-09-25,1991-06-03
SUBID1062,Lalit,Mishra,Comar Street,1924-02-15,Female,+91 4647833992,India,Tinsukia,963770,S103,N,1944-02-15,1947-09-28
SUBID1063,Anshuk,Srivastav,Sridhar Path,1991-06-17,Male,+91 9764690642,India,Uluberia,270985,S105,N,2011-06-17,2014-07-11
SUBID10064,,Pandey,Mangat Path,1994-01-13,Male,+91 8444537013,India,Panihati,643791,S110,N,2014-01-13,2019-02-24
SUBID1065,Dipesh,Mishra,Char Path,1949-04-01,Female,+91 5851958964,India,Kochi,31269,S103,Y,1969-04-01,1970-06-02
SUBID10066,,Seth,Chaudhuri Marg,1930-09-01,Male,+91 7061843400,India,Kolhapur,597470,S102,N,1950-09-01,1957-12-01
SUBID1067,Kishan,Rao,Badal Nagar,1923-05-12,Male,+91 9067652693,India,Srikakulam,703899,S110,Y,1943-05-12,1946-09-20
SUBID10068,,Mishra,Bath Nagar,1927-02-26,Female,+91 4984346995,India,Ambarnath,766224,S110,N,1947-02-26,1948-03-30
SUBID10069,Bhageeratha,Srivastav,Das Ganj,1973-03-21,Male,+91 0590662722,India,Sonipat,695316,S103,Y,1993-03-21,1997-08-01
SUBID10070,Balaaditya,Gupta,Varty Road,1923-11-02,Male,+91 3871269153,India,Hajipur,3526,S109,N,1943-11-02,1952-09-24
SUBID10071,,Rai,Choudhury Chowk,1941-12-26,Female,+91 9287216619,India,Vellore,239532,S101,N,1961-12-26,1969-02-23
SUBID10072,Gopal,Srivastav,Desai Street,1936-03-11,Female,+91 3791210190,India,Bidhannagar,761800,S103,Y,1956-03-11,1964-07-28
SUBID1073,Virender,Maurrya,Chakrabarti,1936-10-27,Male,+91 7734026802,India,Bhusawal,374302,S104,N,1956-10-27,1961-04-27
SUBID10074,,Singh,Kalla Path,1963-11-21,Male,+91 7881749363,India,Bokaro,866319,S105,Y,1983-11-21,1985-09-29
SUBID10075,,Singh,Iyengar Nagar,1956-01-29,Male,+91 6891482136,India,Navi Mumbai,836175,S107,N,1976-01-29,1979-05-25
SUBID10076,Mamta,Tiwari,Batra,1964-12-21,Female,+91 5559521919,India,Secunderabad,123181,S104,N,1984-12-21,1987-01-08
SUBID10077,Girija,Maurrya,Iyengar Road,1933-04-25,Male,+91 1811765039,India,Jaipur,204379,S105,N,1953-04-25,1963-04-18
SUBID10078,Aaraadhana,Rao,Raval Nagar,1980-02-07,Male,+91 2432610572,India,Jhansi,429941,S108,N,2000-02-07,2005-02-06
SUBID10079,Shahnawaz,Mishra,Agate Path,1971-06-24,Female,+91 4117017589,India,Rampur,528893,S102,Y,1991-06-24,2000-09-13
SUBID10080,Tej,Sonkar,Sarraf Chowk,1942-06-11,Male,+91 3450311029,India,Haridwar,506221,S105,Y,1962-06-11,1964-10-14
SUBID10081,Mansi,Divedi,Bhattacharyya Road,1947-03-20,Female,+91 1135113927,India,Hosur,995152,S105,Y,1967-03-20,1971-07-25
SUBID10082,Girika,Thakur,Sinha Zila,1968-11-03,Female,+91 5601148700,India,Hospet,683614,S102,N,1988-11-03,1992-01-21
SUBID10083,Bhilangana,Pandit,Ramachandran Path,1995-01-04,Female,+91 6653069630,India,Fatehpur,359466,S109,Y,2015-01-04,2017-10-05
SUBID10084,,Thakur,Raval Zila,1924-06-07,Female,+91 7367059254,India,Bhavnagar,464111,S107,Y,1944-06-07,1952-05-22
SUBID10085,Sukanya,Sonkar,Sangha Street,1942-01-16,Female,+91 5689645499,India,Vijayanagaram,226215,S101,N,1962-01-16,1967-04-10
SUBID1086,Banita,Rao,Thakur,1979-01-28,Male,+91 4743834161,India,Ghaziabad,907613,S109,N,1999-01-28,2000-09-05
SUBID1087,,Pandit,Srivastava Path,1924-12-10,Female,+91 9158965227,India,Sambhal,279219,S103,N,1944-12-10,1951-07-16
SUBID10088,,Rajput,Dua Zila,1922-07-30,Female,+91 9523946101,India,Tadipatri,743449,S110,N,1942-07-30,1949-06-07
SUBID10089,Dhuha,Tiwari,Aggarwal Street,1952-08-21,Male,+91 3188519840,India,Rampur,492137,S104,,1972-08-21,1981-05-13
SUBID10090,,Mishra,Chandran Nagar,1938-06-07,Female,+91 6869721169,India,Sikar,564747,S101,Y,1958-06-07,1967-08-23
SUBID1091,,Thakur,Bala,1930-12-31,Male,+91 9664169480,India,Kamarhati,682652,S110,Y,1950-12-31,1958-06-21
SUBID10092,,Rai,Karan Street,1940-08-22,Others,+91 7498206646,India,Ghaziabad,79586,S108,N,1960-08-22,1966-10-06
SUBID10093,Chandavarman,Singh,Sarkar Circle,1997-05-10,Others,+91 6559031791,India,Navi Mumbai,83240,S110,N,2017-05-10,2022-08-27
SUBID10094,Charanpal,Yadav,Sehgal Circle,1986-10-12,Male,+91 2196055115,India,Gurgaon,640326,S109,Y,2006-10-12,2016-05-13
SUBID10095,Ekaaksh,Rai,Bansal Ganj,1933-12-02,Others,,India,Pimpri-Chinchwad,158186,S107,N,1953-12-02,1960-07-29
SUBID10096,Chanak,Sonkar,Kaur,1959-04-07,Others,+91 7284540687,India,Raurkela Industrial Township,899590,S101,Y,1979-04-07,1986-03-07
SUBID10097,,Sonkar,Rana Ganj,1940-02-04,Others,+91 8908240160,India,Mira-Bhayandar,896586,S107,Y,1960-02-04,1965-01-12
SUBID1098,Pushkar,Kumar,Sodhi Zila,1934-10-05,Others,+91 8956368286,India,Korba,910732,S107,Y,1954-10-05,1961-04-05
SUBID10099,Shikha,Srivastav,Ahuja Road,1970-09-06,Others,+91 3042509956,India,Nanded,101500,S109,Y,1990-09-06,1997-11-27
